command,intent
Could you stop the music?,stop_song
What is the weather in Bangalore?,get_weather
Please resume track.,resume_song
What time does your clock show?,time
Can you find me a joke?,tell_joke
Can you pause the music?,pause_song
What is the exact time?,time
Play the song where it stopped.,play_song
Play a pop song for me.,play_song
Tell me what time it is.,time
Resume the current track.,resume_song
Play the song from the start.,restart_song
Pause the music now.,pause_song
what is labeling. ,fetch_info
Pause the playback.,pause_song
I want to know the time.,time
Resume the music playback. ,resume_song
Resume the song from where it left off.,resume_song
Give me details on Alan Turing.,fetch_info
Can you pause the music?,pause_song
Pause the playback.,pause_song
Play a tune.,play_song
Stop the music playback.,stop_song
Restart the track.,restart_song
Play a classical piece. ,play_song
What time is it?,time
Thank you so much!,thank_you
Pause this song.,pause_song
Shut down the computer.,shut_down
Start the song over.,restart_song
Stop the system.,shut_down
Play something. ,play_song
Thanks a lot!,thank_you
Can you play some music?,play_song
Tell me a light-hearted joke. ,tell_joke
Pause the current song. ,pause_song
Who was Nikola Tesla?,fetch_info
Stop the audio. ,stop_song
Please let me know what time it is.,time
Tell me a joke. ,tell_joke
Resume the track.,resume_song
Power off the system. ,shut_down
Can you restart the song? ,restart_song
Please tell me the time.,time
Stop playing music.,stop_song
Give me some weather details.,get_weather
Pause the ongoing track.,pause_song
Who was Carl Sagan?,fetch_info
Give me some information about Nikola Tesla.,fetch_info
Pause the track.,pause_song
Resume the song.,resume_song
Who is Alan Turing?,fetch_info
What is the temperature outside?,get_weather
Do you know the time?,time
Play my favorite song.,play_song
Tell me the weather for today.,get_weather
Tell me the weather.,get_weather
Please play naatu naatu.,play_song
Resume playback.,resume_song
Can you tell me the time right now?,time
Play a fast song in Tamil.,play_song
Play the song from the start.,restart_song
What is the phone.,fetch_info
Stop the playback.,stop_song
Can you provide the current time?,time
What is the weather in Los Angeles?,get_weather
Shut down the computer. ,shut_down
What is the notebook.,fetch_info
what is weather in kerala.,get_weather
kindly give temperature in malappuram today. ,get_weather
what is the richest country in the world,fetch_info
what is the font.,fetch_info
what is the time now?,time
